date;peg_nord;trs;peg;ttf;zee;nbp;ncg;gaspool;psv
2017-01;21.17354838709677;34.131290322580654;;19.995806451612907;50.80903225806451;53.079999999999984;20.28935483870968;19.532580645161293;22.925806451612907
2017-06;15.009000000000002;15.34466666666667;;15.065333333333331;37.83866666666666;35.11533333333333;15.421333333333333;12.026666666666666;18.047000000000008
2017-11;19.627366666666664;23.520633333333326;;19.427233333333337;50.353;52.364;19.467766666666666;19.203033333333337;20.979333333333336
2018-10;25.486741935483874;25.658032258064523;;25.713741935483874;65.83709677419354;67.20806451612901;26.01790322580645;25.907935483870965;27.17322580645161
2018-11;;;24.497466666666664;24.539833333333334;62.387666666666675;64.53766666666667;24.790166666666664;24.89466666666667;24.748666666666672
2018-12;;;23.737645161290313;23.74825806451613;64.49354838709675;63.95483870967744;24.08087096774194;23.90580645161291;25.302580645161292
2019-05;;;13.522903225806452;13.436354838709674;33.702580645161284;32.11096774193549;14.17754838709678;13.680838709677415;17.190967741935484
2019-08;;;10.249516129032259;10.109709677419355;26.274838709677418;27.903225806451616;10.336774193548388;10.01816129032258;11.390645161290323
2019-09;;;9.642433333333333;9.678366666666669;24.694333333333336;25.56666666666666;9.806899999999995;9.423966666666667;12.582666666666666
2019-10;;;10.088064516129034;10.099677419354842;25.61451612903228;26.524193548387096;10.217967741935484;9.85525806451613;12.803870967741938
2019-11;;;14.196133333333332;14.449600000000002;32.148666666666664;37.382666666666665;14.7449;14.572066666666666;16.163333333333334
2020-01;;;11.223645161290325;11.267483870967745;28.585806451612903;28.170967741935478;11.76;11.82558064516129;13.232580645161292
2020-03;;;8.48258064516129;8.609612903225807;22.72903225806452;23.135161290322582;9.07416129032258;9.059516129032257;9.973870967741936
2020-07;;;4.807225806451613;4.840870967741936;13.64548387096774;13.239032258064519;5.068645161290323;5.1421290322580635;6.36741935483871
2020-09;;;10.638533333333333;11.075833333333332;28.54083333333333;29.74666666666667;10.586066666666664;11.169433333333332;11.425166666666666
2021-01;;;20.587;20.474161290322588;53.40161290322581;59.0924193548387;19.800387096774198;19.99235483870968;19.90758064516129
2021-06;;;28.342866666666673;28.81423333333333;71.41583333333334;67.45166666666663;28.703333333333337;28.75830000000001;26.876833333333334
2022-05;;;75.84599999999999;88.72690322580644;196.19354838709677;96.69354838709677;88.32222580645163;88.32222580645163;91.65887096774195
2022-07;;;123.62829032258064;167.33061290322584;281.3390322580646;226.50806451612902;167.50558064516127;167.50558064516127;171.95483870967743
